Content Name,Filename,Message Text (English),Message Text (French),Question/Comments,"Reviewed by all 3 teams? (CMU, Delaware, Eneza)",Ready to record?,Recorded,Audio File Type,Record Delivery Date,Audio split? (if necessary),Directory of audio file,Audio matched to lookup key?
Question,quelle_orthographe_ne_fait_pas_ce_son,What spell does not that sound?,Quelle orthographe ne fait pas ce son?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_ne_contient_pas_le_son,What word does not contain sound,Quel mot ne contient pas le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelle_lettre_n_est_pas_prononcee_dans_ce_mot,What letter is not pronounced in this word?,Quelle lettre n'est pas prononcée dans ce mot?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelles_lettres_font_ce_son,What are letters that sound?,Quelles lettres font ce son?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_se_termine_en,What word ends in,Quel mot se termine en,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,regarde_ces_lettres_quand_on_les_met_ensemble_quel_mot_font_elles,"Look at these letters. When you put them together, what word do they do?","Regarde ces lettres. Quand on les met ensemble, quel mot font-elles?",Comment fait l'élève pour regarder la lettre? Il la reçoit par SMS?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,regarde_ces_lettres_si_on_les_met_ensemble_quels_sons_font_elles,"Look at these letters. If you put them together, what sounds do they do?","Regarde ces lettres. Si on les met ensemble, quels sons font-elles?",Comment fait l'élève pour regarder la lettre? Il la reçoit par SMS?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,une_des_orthographes_suivantes_fait_le_son,One of the following spellings makes the sound,Une des orthographes suivantes fait le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,laquelle,Which?,Laquelle?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ce_mot_se_termine_t_il_en,This word he finishes,Ce mot se termine-t-il en,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ce_mot_rime_avec,It rhymes with,Ce mot rime avec,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,les_mots_dans_une_des_paires_suivantes_se_terminent_en_le_même_son_quelle_paire,The words in one of the following pairs end with the same sound. Which pair?,Les mots dans une des paires suivantes se terminent par le même son. Quelle paire?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,voici_le_mot,Either the word,Soit le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,suivi_de_deux_autres_mots,followed by two other words,suivi de deux autres mots,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,l_un_des_mots_se_termine_avec_le_meme_son_que,Any word ends with the same sound,L'un des mots se termine avec le même son que,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,lequel_rime_avec_le_mot,Which rhymes with the word,Lequel rime avec le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelles_lettres_font_ce_mot,What letters are the word?,Quelles lettres font ce mot ?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,tape_les_lettres_qui_font_le_mot,Type the letters that make the word,Tape les lettres qui font le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,ces_deux_sons_font_un_mot_quel_mot_font_ils,These two sounds are short. What word do they do?,Ces deux sons font un mot. Quel mot font-ils?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quand_on_met_ces_deux_sons_ensemble_qu_est_ce_qu_ils_font,"When you put these two sounds together, what do they do?","Quand on met ces deux sons ensemble, qu'est-ce qu'ils font?",,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ces_lettres_font_un_mot_regarde_les,These letters make a word. Look at them,Ces lettres font un mot. Regarde-les,Comment fait l'élève pour regarder la lettre? Il la reçoit par SMS?,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,font_il_le_mot,Are they the word,Font-ils le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,ou_le_mot,or the word,ou le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,est_ce_que_ces_lettres_font,Are these letters are,Est-ce que ces lettres font,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,tape_les_lettres_qui_font_le_son,Type the letters that make sound,Tape les lettres qui font le son,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelle_orthographe_ne_fait_pas_ce_son,What spell does not that sound?,Quelle orthographe ne fait pas ce son?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Instructions,ces_deux_sons_font_un_mot,These two sounds are short.,Ces deux sons font un mot. ,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quel_mot_font_ils,What word do they do?,Quel mot font-ils ?,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
Question,quelles_lettres_font_le_mot,What letters are the word,Quelles lettres font le mot,,"Eneza, CMU, ____",No,Y,"wav  (8kHz, 16 bits, mono)",2018-12-28,,,
